Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
557,ViVi-日代,广东,female,Lv.9,98,58,29,2018-12-20 22:11:00,2019-03-20 03:17:37,feed,💛【Curel珂润保湿水乳】强烈推荐呢～敏感肌专用（孕妇可用）修护补水保湿！一年四季护肤作战补水保湿工作一直都是最基础的！尤其像干敏肌要更加注重补水保湿稳定肌肤状态！有滋润度可以选哦～接受預訂​​​,4319396426626855.0,0,1,0
558,乐糖豆儿,贵州,female,Lv.4,84,216,2719,2018-12-20 20:10:00,2019-03-20 03:17:39,feed,🇯🇵大阪采购中🎏💰160/瓶日本花王Curel珂润面霜‼️日本连续3年cosme大赏面霜第一位👑cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品​展开全文c,4319386376081506.0,0,0,0
559,日渐消瘦的小于,山东济南,female,Lv.30,408,3275,1938,2018-12-20 19:30:00,2019-03-20 03:17:41,feed,Curel珂润去角质它是啫喱质地的，清凉清凉的！洁脸后，将皮肤水分吸干，取适量啫喱涂开全脸并轻轻揉动，你会感觉到老废角质都变成白色的颗粒，30秒之后用清水洗净，不会伤害皮肤。之后进行正常的皮肤护理，吸收效果极好，很温和，很好用,4319339291654735.0,0,0,0
560,BlueLiTTTL海外代购,其他,female,Lv.32,158,500,2810,2018-12-20 16:23:00,2019-03-20 03:17:51,feed,✦珂润水乳2号滋润珂润水乳专门针对敏感肌干燥肌用过的都说好，质地偏薄，用完皮肤像喝饱了水一样。抗衰，消炎，滋润，让你从根本上解决皮肤问题，它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌！,4319324409337260.0,0,0,0
561,哎呦喂d漂漂妈咪,江苏,female,Lv.14,339,314,4580,2018-12-20 15:24:00,2019-03-20 03:17:54,feed,#丑丑在首尔#日本Curel珂润保湿滋养面霜40g🍒日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。性敏感​展开全文c,4319321272620696.0,0,0,0
562,我的公主美妆店,no location,female,Lv.48,548,57499,13025,2018-12-20 15:11:00,2019-03-20 03:17:57,feed,优惠限期由2018/12/21-2018/01/01(只限门市购买)ThursdayPlantation茶树治疗膏25g$48/支毛穴抚子米精华保湿面膜10片/包$56/包Curel深层高效保湿面霜40g$135/件Naturieimju薏仁化妆水500ml$37/支UNNY氨基酸矿物洗面乳120g$42/支Blackmores天然澳佳宝维他命E面霜50g$44/支Dr.Ci-Labo​展开全文c,4319313689302525.0,0,1,0
563,青岛搜号网,no location,male,Lv.32,4499,11760,3093,2018-12-20 14:41:00,2019-03-20 03:18:01,feed,保税仓发货日本松本清Curel珂润滋润补水润浸精华保湿面霜女40g【原】168【现】163【下】O网页链接,4319303774429004.0,0,0,0
564,CuiYeNicole,四川成都,female,Lv.37,2486,547,2033,2018-12-20 14:02:00,2019-03-20 03:18:12,feed,#CuiYeNicole的护肤功课#干皮平价实用面霜干货❤️珂润Curel花王润浸保湿滋养面霜💗珂润面霜的质地真的非常轻透、非常绵密，有点点像打发的奶油，很轻、很棉、很细腻。💗和一般面霜拥有的厚重油腻感不同，这一款珂润感觉是能瞬间就被皮肤给吸收的，完全不会出现油腻的感觉！💗它的延展性也​展开全文c,4319303753416949.0,0,0,0
565,ZLY351738175,香港其他,female,Lv.9,73,725,10830,2018-12-20 14:02:00,2019-03-20 03:18:15,feed,水150ml[红包]125，乳120ml[红包]135日本CUREL珂润系列水乳是日本花王旗下专为敏感肌设计的品牌，弱酸性配方滋润保护肌肤，能让皮肤高保湿，同时无刺激皮肤，365日天天调理，让保湿因子深入到皮下角质层，增强对外部环境对皮肤的刺激。清雅的香味，无色素，无刺激，让皮肤保持最佳状态，l​展开全文c,4319292893667669.0,0,0,0
566,ZLY351738175,香港其他,female,Lv.9,73,725,10830,2018-12-20 13:18:00,2019-03-20 03:18:17,feed,💰148🇯🇵curel珂润面霜。不用推荐一直有人回购的面霜！换季必备💭过渡季节一定要用它！保湿又滋润，绝对不油腻，不糊脸，感觉水乳精华都被它封锁在肌肤里啦[得意]。一年四季都好用的单品~看看多少网红在用它！真心推荐！2香港特别行政区·观塘区,4319292813867005.0,0,0,0
567,臭臭狗大妮,天津河东区,female,Lv.39,684,243,2850,2018-12-20 13:18:00,2019-03-20 03:18:21,feed,日本花王CUREL珂润面霜保湿滋养乳霜40g补水滋润早晚干性敏感肌肤【包邮】【在售价】136.00元【下单链接】O网页链接-----------------复制这条信息，￥UBtUbMJA8Wh￥，打开【手机淘宝】即可下单2天津·利津路,4319290733798895.0,0,0,0
568,王威翔adam,台湾台北市,male,Lv.16,109,19062,671,2018-12-20 13:10:00,2019-03-20 03:18:24,feed,🎁💝交换礼物全攻略💝🎁圣诞节剩下没几天📅妳的交换礼物买好了没🛒🛍这裡为大家整理出CP值超高的商品👑还没有想法的就参考囉😍😘😚200元Bifesta碧菲丝特碧菲丝特抗暗沉即淨卸妆水还记得之前卸妆也介绍过这家的产品，不论是卸妆纸巾还是卸妆水，都非常好用，而且真的​展开全文c,4319270152092165.0,0,3,2
569,猪突猛进的白煮蛋,海外,female,Lv.47,481,3280,58660,2018-12-20 11:48:00,2019-03-20 03:18:26,feed,2018年的最后一个月，我发现了curel的泡沫洗面奶。真是超绝好用！碗大量足价格合适！冲洗后滑爽舒适，用了一周，过敏风团都瘪下去好多！,4319268167888405.0,0,4,3
570,优惠早知道网,no location,female,Lv.42,1375,12510,321656,2018-12-20 11:40:00,2019-03-20 03:18:30,feed,【京东商城】Curel珂润润浸保湿滋养乳霜40g+熊野油脂山茶油保99元包税包邮直达:O网页链接详情:O网页链接,4319266872973684.0,0,0,0
