,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
25,123美妆店官博,no location,female,Lv.48,2641,54681,58803,2019-01-14 21:55:00,2019-03-20 08:31:47,feed,🎏┆日本人肉代购🇯🇵Curel珂润泡沫洁面乳它能瞬间形成盈泡沫，比一般洗面奶表现更持久，更丰盈哦~洁面时无需过度搓揉，不会对肌肤造成负担，用后感觉舒爽水润，减少引起肌肤敏感，能彻底洁净汗水及油脂污垢，弱酸性，无香料，无色素，无酒精，防敏感配方，防刺激配方，敏感肌必备​展开全文c,4328482651682722,0,0,0
26,种草时尚姐,其他,male,Lv.9,235,176,32571,2019-01-14 21:50:00,2019-03-20 08:32:07,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919日本curel​展开全文c,4328481380399402,0,0,0
27,爱购券儿网站创始人,北京东城区,female,Lv.9,61,175,33756,2019-01-14 21:46:00,2019-03-20 08:32:30,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发Su​展开全文c,4328480197484196,0,0,0
28,种草时尚姐,其他,male,Lv.9,235,176,32571,2019-01-14 21:27:00,2019-03-20 08:32:54,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发Su​展开全文c,4328475647075771,0,0,0
29,种草时尚姐,其他,male,Lv.9,235,176,32571,2019-01-14 21:25:00,2019-03-20 08:33:15,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发Su​展开全文c,4328475147757823,0,0,0
30,你不知道心酸,广东,female,Lv.4,56,42,398,2019-01-14 21:22:00,2019-03-20 08:33:39,feed,【直营】日本进口花王Curel/珂润面霜保湿乳霜深层滋养40g【直营】日本进口花王Curel/珂润面霜保湿乳霜深层滋养40g-----------------【在售价】159元【券后价】159元-----------------复制这条信息，€RDP4bJBmWmO€，打开【手机淘宝】即可查看,4328474330193740,0,0,0
31,阳朵儿全球代购,宁夏吴忠,female,Lv.9,69,33,1439,2019-01-14 20:51:00,2019-03-20 08:33:56,feed,到货💗珂润面霜、夏天可以用的cosme面霜类第一（高端部门）第一名珂润，第二名polaapex，第三名lamer。curel日本本土珂润面霜，珂润面霜高保湿面霜花王旗下的珂润，为敏感干燥肌而生的品牌。弱酸性配方，日本皮肤科医生推荐，尤其适合干燥敏感皮肤。奶油质地，清爽不油腻～40g,4328466532860821,0,0,0
32,123美妆店官博,no location,female,Lv.48,2641,54681,58803,2019-01-14 20:26:00,2019-03-20 08:34:16,feed,🎏┆日本人肉代购🇯🇵珂润高保湿面霜curel日本本土珂润面霜珂润面霜高保湿面霜。花王旗下的药妆品牌🏅为敏感干燥肌而生的品牌。弱酸性配，日本皮肤科医生推荐，尤其适合干燥敏感皮肤。奶油质地，清爽不油腻～​,4328460111613204,0,0,0
33,紫小小菱,上海宝山区,female,Lv.29,161,133,1082,2019-01-14 20:00:00,2019-03-20 08:34:34,feed,#珂润面霜日版#现货🇯🇵花王CUREL珂润保湿面霜40g日本版买多了，出几个，需要的联系,4328453605705233,0,0,0
34,爱购一姐,北京,female,Lv.9,75,170,29018,2019-01-14 19:44:00,2019-03-20 08:34:55,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发Su​展开全文c,4328449675652291,0,0,0
