,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
90,不能说的微博昵称,None,None,None,None,None,None,None,None,comment,回复@逗逼团大小王:没找到链接呢,4327968958332463,None,None,None
91,逗逼团大小王,None,None,None,None,None,None,None,None,comment,回复@--ZHOUNAN---:点开我的链接里面是整个团帖，下滑找到freeplus的中小样就好了全都是🔗鸭,4327968958332463,None,None,None
92,逗逼团大小王,None,None,None,None,None,None,None,None,comment,回复@周沫日:一套15，中样哈中样中样,4327968958332463,None,None,None
93,--ZHOUNAN---,None,None,None,None,None,None,None,None,comment,商品链接在哪里,4327968958332463,None,None,None
94,丧_甜_,None,None,None,None,None,None,None,None,comment,回复@张小何是红担油卡他:好主意,4327967494385852,None,None,None
95,张小何是红担油卡他,None,None,None,None,None,None,None,None,comment,,4327967494385852,None,None,None
96,丧_甜_,None,None,None,None,None,None,None,None,comment,,4327967494385852,None,None,None
97,张小何是红担油卡他,None,None,None,None,None,None,None,None,comment,,4327967494385852,None,None,None
98,丧_甜_,None,None,None,None,None,None,None,None,comment,回复@普迩嗏:那你给他换个香皂吧,4327967494385852,None,None,None
99,普迩嗏,None,None,None,None,None,None,None,None,comment,,4327967494385852,None,None,None
100,丧_甜_,None,None,None,None,None,None,None,None,comment,,4327967494385852,None,None,None
101,jonefine,None,None,None,None,None,None,None,None,comment,我也想成为你的男人，你收了我吧,4327967494385852,None,None,None
102,丧_甜_,None,None,None,None,None,None,None,None,comment,回复@普迩嗏:洗面奶怎么能油呢,4327967494385852,None,None,None
103,普迩嗏,None,None,None,None,None,None,None,None,comment,大哥还说芙丽芳丝油,4327967494385852,None,None,None
104,小唯本就不算什么好姑娘,None,None,None,None,None,None,None,None,comment,外形还挺讨喜哎,4327779988881411,None,None,None
105,蓓蕾啊蓓蕾,None,None,None,None,None,None,None,None,comment,回复@_Aiyay__:爱了,4327762736815163,None,None,None
106,_Aiyay__,None,None,None,None,None,None,None,None,comment,真的好用啊我真的一生推！泡泡很舒服还不拔干我出油那么严重洗完就超级舒服！开学回来我要回购第三瓶了,4327762736815163,None,None,None
107,最旺的崽喔,None,None,None,None,None,None,None,None,comment,回复@蓓蕾啊蓓蕾:哈哈哈哈哈,4327762736815163,None,None,None
108,蓓蕾啊蓓蕾,None,None,None,None,None,None,None,None,comment,,4327762736815163,None,None,None
109,蓓蕾啊蓓蕾,None,None,None,None,None,None,None,None,comment,我妈问我烫头花了多少钱，我说50当然我妈自然不会信,4327762736815163,None,None,None
110,大昱儿日本直送,None,None,None,None,None,None,None,None,comment,在这O网页链接,4327692763468229,None,None,None
111,__Deserts小鼓,None,None,None,None,None,None,None,None,comment,回复@杏仁甜酥:不会洗完干巴巴,4327678632682985,None,None,None
