,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
32,日本流行每日速报,海外日本,female,Lv.48,3701,2532723,37340,not detected,2019-03-14 13:29:17,feed,因为气温变化，花粉，大气污染，紫外线等或是生活工作压力等等因素。越来越多人的肌肤变得容易敏感，不知道大家是否也有这样的烦恼呢？相较于不易过敏的人，敏感肌可选择的护肤品范围会比较少，一旦使用不适合自己的护肤品的话，皮肤容易感觉红肿刺痛。今天呢，速报酱就专门针对敏感肌的小伙伴给你们​展开全文c,4341813333163689,370,111, 341
33,大可离不开紫薯君,其他,female,Lv.43,643,1204,6473,2019-02-16 22:22:00,2019-03-14 13:29:22,feed,资生堂dprogram这个水真的好好用啊，蹭我妈的用了一下真的就擦了水一个小时过去了脸完全不干，图2是我爸妈在厨房地上晾的袜子，草莓太好吃了​,4340448271157558,0,21, 4
34,卍岁娘,no location,no gender,no rank,no follow,no follower,no weibo,not detected,2019-03-14 13:29:31,feed,#大萌毛化妆品#资生堂敏感肌专用品牌dprogram妆前和蜜粉，这是我的表妹推荐给我的，说实话（表妹别打我），我一开始看到这个隔离，我是嫌弃它的，图8可见，它长得很黄！！！我是偏白的皮肤，第一次看到我都快怀疑人生了……冷静了一下，我想到两点：第一，植村秀慕斯隔离有很多种颜色，黄黄的却是给​展开全文c,4339270300641251,62,236, 213
35,觉花岛_331,no location,no gender,no rank,no follow,no follower,no weibo,2019-02-09 15:21:00,2019-03-14 13:29:33,feed,#GoLangDevConfigurationGoLangDevelopmentEnvironmentSetting.@setGOROOT=D:/program/go@setGOBIN=%GOROOT%/bin@setGOPATH=e:/godev/@setPATH=%GOBIN%;%PATH%;​,4337805419276511,0,0,0
36,紫築_Lefauxmonde,no location,no gender,no rank,no follow,no follower,no weibo,2019-02-08 20:52:00,2019-03-14 13:29:35,feed,我这么个三心二意的能用/吃空瓶什么都觉得很感动。图一是最喜欢的“洗脸水”了，一停用，马上下巴长痘了（哭。。图二这货像聚宝盆一样，每天都能摁出点什么来，差点想直接扔了，终于真正用完真不容易。图三即将空瓶。接棒的洗脸水是薏仁水，水乳是dprogram​,4337526363716731,0,5,0
37,DJZ48-梅超疯,no location,no gender,no rank,no follow,no follower,no weibo,2019-02-08 20:19:00,2019-03-14 13:29:37,feed,有没有人告诉我怡丽丝尔水和乳究竟好不好用……用了好几瓶dprogram有点腻了真的想换个产品试试。​,4337517995931500,0,44, 1
38,Eli小EE,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-31 15:22:00,2019-03-14 13:29:44,feed,一開錄影program校預錄就見到情人眼裡高一D~~​,4334544339357381,0,0,0
39,一个无情的橙子粉碎机,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-26 01:41:00,2019-03-14 13:29:45,feed,靠谱日代有没有能带dprogram黄色水乳的日代呀？​,4332525725941027,0,18, 3
40,薄荷奶绿冫,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-25 01:31:00,2019-03-14 13:32:54,feed,香港第五天打卡✔实习结束了！小组program第一名！D组牛批！明天回重庆了！对于这几天的实习我只想说买保险来香港友邦✔2香港特别行政区·尖沙咀​,4332160846847755,0,0, 7
41,Somnus_1010,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-24 07:28:00,2019-03-14 13:32:56,feed,Dprogram乳液，出去旅游手信是护肤品的人都是好人。2上海​,4331888266496523,0,0, 1
