,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
239,if视频,北京朝阳区,female,Lv.4,no follow,no follower,no weibo,2017-12-16 13:34:00,2019-03-18 16:04:38,feed,用过无数身体乳，这3款一直在回购！@JoMaloneLondon祖玛珑@普罗旺斯欧舒丹@Curel珂润​​​L-IF时尚-的秒拍视频​,4185575714035969,9,0, 8
240,Kitty的喵喵喵,广东广州,female,Lv.29,no follow,no follower,no weibo,2017-12-14 22:11:00,2019-03-18 16:04:47,feed,今天和我爸在Hk办完事，我说我要去买点东西要是他忙就先回去，他说不用一起去吧。我只是想买个Curel的霜结果走了差不多10家卓悦万宁屈臣都没有，以前的我爸肯定要发火了说没有就别买了，但是全程我爸居然一点不耐烦都没有还一直跟着我进每一家店，还先去帮我排队？顿时觉得我爸真可爱​,4184981049563223,0,0, 3
241,若苗君,海外新加坡,female,Lv.32,no follow,no follower,no weibo,2017-12-06 16:48:00,2019-03-18 16:04:50,feed,喜欢过的：1sk2回购至少三次2curel一次在考虑要不要回购3freshsoya买过一次4kingokingo回购两次-三次5城野Supersensitive买过一次6Chanel美白回购一次7skinceuticalssimpleclean回购一次Sowhatisnextfacialwash?​,4182000501515483,0,0,0
242,KE香港代購,香港观塘区,female,Lv.31,no follow,no follower,no weibo,2017-12-05 21:36:00,2019-03-18 16:04:55,feed,AveenoCurelNevia嬰兒洗護​,4181710751070063,0,0, 2
243,学说话的猫猫,江苏苏州,female,Lv.9,no follow,no follower,no weibo,2017-12-05 17:43:00,2019-03-18 16:04:59,feed,今天坐错两次站后果是多花了2小时还好朋友叫我带的Curel/珂润面霜买到了这个居然还限购、原谅我之前好像没看过这个2日本·大阪​,4181652156326015,1,16,0
244,yiyi顾gu一一,no location,female,Lv.48,no follow,no follower,no weibo,2017-12-05 10:40:00,2019-03-18 16:05:45,feed,等下直接shang，curel面霜，最后的压箱底​,4181545667333784,4,5, 4
245,Pansy嚴選貨舖,广东珠海,female,Lv.31,909,624,1871,2017-11-22 15:31:00,2019-03-18 16:06:35,feed,花王CUREL珂潤潤浸保濕眼部美容液20G~眼睛敏感和乾燥，搽了有效持續補水，有神經酰胺的成分，桉樹提取物，防止眼睛周圍外部刺激。乾燥敏感肌膚都可以用！弱酸性，無香料著色無酒精（乙醇無添加劑）通過日本國際過敏性測試！​,4176907794465991,0,0,0
246,给我麦田的颜色,天津河东区,female,Lv.34,775,1056,1872,2017-11-18 21:35:00,2019-03-18 16:06:41,feed,好棒（chī）的交流会，更多护肤小心机get！珂润粉从此更爱@Curel珂润2杭州​,4175549759473315,0,0,0
247,今晚有雨不刮风,no location,female,no rank,229,107,1948,2017-09-28 23:44:00,2019-03-18 16:07:24,feed,#空瓶#1Curel洗发水真爱了可能是第四包？2露得清水杨酸水早晨用来擦脸然后用清水冲一下酒精味大的可怕太熏了有时候皮肤状态不好会觉得有点辣3Arouge基底液主打好像是痘肌维稳使用感很好的很薄但是有点小贵也许会回购4rafra卸妆膏中样（人工）橘子味（我偏好无香）好评如潮的产​,4157100520660549,2,6, 2
248,兔仔吖,no location,female,no rank,no follow,no follower,no weibo,2017-09-19 20:48:00,2019-03-18 16:10:41,feed,#CUREL珂润卸妆啫喱#特别难用，绝不回购。这个卸妆啫喱唯一的优点大概是用量废，可以很快用完。但是一想到这管用完了家里还有一管在等着，我就生无可恋​,4153794885822681,0,3,0
249,彭彭帮你代个够,no location,female,no rank,212,158,1008,2017-09-19 12:44:00,2019-03-18 16:11:51,feed,curel珂润新出了抗衰老系列​,4153672965089643,0,0,0
250,我爱果果mjh,江苏,female,Lv.39,293,215,3444,2017-09-18 15:44:00,2019-03-18 16:11:58,feed,#空瓶卸妆#curel卸妆蜜，和orbis换着用，还是喜欢orbis更多。​,4153355855296514,0,0,0
251,饼玛,四川成都,female,Lv.34,742,923,3999,2017-09-17 17:09:00,2019-03-18 16:12:02,feed,@Curel珂润成都粉丝见面会​,4153014995979071,0,6,0
252,高大小姐123456,内蒙古呼和浩特,female,Lv.34,1423,315,795,2017-09-11 11:50:00,2019-03-18 16:12:09,feed,#空瓶记#准备开始回归空瓶认真记录！从日本带回来的curel面霜，保湿不油腻，不搓泥，无功无过，但是算这个价位能买着这个品质也是不错的​,4150760298235759,0,7, 3
253,TiffanyMing,上海,female,Lv.36,193,260,3481,2017-09-11 11:15:00,2019-03-18 16:12:19,feed,我这一生就只用这两个洁面产品。CurelVanicream​,4150751569469500,0,2, 2
